% Time Stamp, Integration Time, Reference Current,Diode 1, Diode 2, Diode 3, Diode 4, Diode 5, Diode 6, Diode 7, Diode 8,
2024-May-20_14:04:56.810, 8mS, 80nA,115,154,182,204,142,91,106,2503, 
2024-May-20_14:04:58.060, 8mS, 80nA,111,151,180,201,141,89,105,2351, 
2024-May-20_14:04:58.180, 8mS, 80nA,114,153,182,204,142,91,106,2480, 
2024-May-20_14:04:58.310, 8mS, 80nA,113,152,181,203,141,90,106,2449, 
2024-May-20_14:04:58.430, 8mS, 80nA,109,150,180,201,140,89,105,2344, 
2024-May-20_14:04:58.560, 8mS, 80nA,112,152,182,204,141,90,105,2439, 
2024-May-20_14:04:58.680, 8mS, 80nA,110,151,180,201,140,89,105,2370, 
2024-May-20_14:04:58.810, 8mS, 80nA,110,150,180,201,140,89,105,2357, 
2024-May-20_14:04:58.930, 8mS, 80nA,115,154,183,206,143,92,106,2512, 
2024-May-20_14:04:59.060, 8mS, 80nA,112,152,181,202,141,90,105,2411, 
2024-May-20_14:04:59.180, 8mS, 80nA,110,151,181,202,141,89,105,2361, 
2024-May-20_14:04:59.310, 8mS, 80nA,115,155,184,207,143,92,107,2498, 
2024-May-20_14:04:59.430, 8mS, 80nA,110,151,181,203,141,90,106,2356, 
2024-May-20_14:04:59.560, 8mS, 80nA,110,152,182,203,142,90,106,2357, 
2024-May-20_14:04:59.680, 8mS, 80nA,115,155,184,206,143,92,107,2504, 
2024-May-20_14:04:59.810, 8mS, 80nA,112,153,183,204,142,90,106,2395, 
2024-May-20_14:04:59.930, 8mS, 80nA,113,154,184,206,143,91,107,2430, 
2024-May-20_14:05:00.060, 8mS, 80nA,117,157,186,208,144,92,107,2554, 
2024-May-20_14:05:00.180, 8mS, 80nA,113,154,184,205,143,91,106,2404, 
2024-May-20_14:05:00.310, 8mS, 80nA,113,154,184,206,143,91,107,2416, 
2024-May-20_14:05:00.430, 8mS, 80nA,116,156,185,207,144,92,107,2511, 
2024-May-20_14:05:00.560, 8mS, 80nA,112,153,183,205,143,91,106,2402, 
2024-May-20_14:05:00.680, 8mS, 80nA,115,156,185,208,144,92,107,2496, 
2024-May-20_14:05:00.810, 8mS, 80nA,117,157,186,208,144,93,108,2547, 
2024-May-20_14:05:00.930, 8mS, 80nA,112,154,183,205,143,91,106,2414, 
2024-May-20_14:05:01.060, 8mS, 80nA,113,155,184,206,143,91,107,2449, 
2024-May-20_14:05:01.180, 8mS, 80nA,114,154,184,205,143,91,107,2462, 
2024-May-20_14:05:01.310, 8mS, 80nA,113,154,184,205,143,91,106,2405, 
2024-May-20_14:05:01.430, 8mS, 80nA,117,157,186,209,145,93,108,2537, 
2024-May-20_14:05:01.560, 8mS, 80nA,115,155,184,206,143,92,107,2489, 
2024-May-20_14:05:01.680, 8mS, 80nA,111,153,183,205,143,90,106,2380, 
2024-May-20_14:05:01.810, 8mS, 80nA,112,151,180,203,141,90,104,2423, 
2024-May-20_14:05:01.930, 8mS, 80nA,103,141,170,191,133,84,98,2207, 
2024-May-20_14:05:02.060, 8mS, 80nA,114,156,186,207,145,93,108,2459, 
2024-May-20_14:05:02.180, 8mS, 80nA,119,159,189,212,147,95,110,2597, 
2024-May-20_14:05:02.310, 8mS, 80nA,116,157,187,209,146,93,109,2503, 
2024-May-20_14:05:02.430, 8mS, 80nA,115,157,187,210,146,93,109,2469, 
2024-May-20_14:05:02.560, 8mS, 80nA,120,161,192,215,149,96,111,2633, 
2024-May-20_14:05:02.680, 8mS, 80nA,119,160,191,213,148,94,110,2492, 
2024-May-20_14:05:02.810, 8mS, 80nA,115,158,189,211,147,94,110,2484, 
2024-May-20_14:05:02.930, 8mS, 80nA,120,161,191,214,149,96,111,2635, 
2024-May-20_14:05:03.060, 8mS, 80nA,115,157,187,209,146,93,109,2492, 
2024-May-20_14:05:03.180, 8mS, 80nA,116,157,188,211,147,94,109,2512, 
2024-May-20_14:05:03.310, 8mS, 80nA,120,160,190,213,148,96,110,2639, 
2024-May-20_14:05:03.430, 8mS, 80nA,116,157,187,209,146,93,109,2472, 
2024-May-20_14:05:03.560, 8mS, 80nA,114,156,187,209,146,93,109,2469, 
2024-May-20_14:05:03.680, 8mS, 80nA,117,158,188,210,147,94,109,2564, 
2024-May-20_14:05:03.810, 8mS, 80nA,113,155,186,208,145,93,108,2447, 
2024-May-20_14:05:03.930, 8mS, 80nA,118,159,189,213,148,95,110,2565, 
2024-May-20_14:05:04.060, 8mS, 80nA,119,159,190,212,148,95,110,2616, 
2024-May-20_14:05:04.180, 8mS, 80nA,115,157,187,210,147,94,110,2513, 
2024-May-20_14:05:04.310, 8mS, 80nA,117,158,189,212,148,94,110,2527, 
2024-May-20_14:05:04.430, 8mS, 80nA,116,158,188,211,147,94,110,2527, 
2024-May-20_14:05:04.560, 8mS, 80nA,116,157,187,210,147,93,109,2477, 
2024-May-20_14:05:04.680, 8mS, 80nA,119,160,190,213,148,95,110,2619, 
