% Time Stamp, Integration Time, Reference Current,Diode 1, Diode 2, Diode 3, Diode 4, Diode 5, Diode 6, Diode 7, Diode 8,
2024-May-20_13:57:36.184, 8mS, 80nA,115,160,190,213,148,94,110,2503, 
2024-May-20_13:57:36.304, 8mS, 80nA,116,159,190,212,148,94,110,2508, 
2024-May-20_13:57:37.555, 8mS, 80nA,114,159,189,213,147,94,110,2472, 
2024-May-20_13:57:37.685, 8mS, 80nA,115,159,189,211,147,94,110,2510, 
2024-May-20_13:57:37.805, 8mS, 80nA,112,156,187,210,146,93,109,2407, 
2024-May-20_13:57:37.935, 8mS, 80nA,112,156,187,210,146,94,109,2518, 
2024-May-20_13:57:38.055, 8mS, 80nA,112,156,186,208,145,92,108,2405, 
2024-May-20_13:57:38.185, 8mS, 80nA,111,155,186,209,145,92,108,2371, 
2024-May-20_13:57:38.305, 8mS, 80nA,115,158,188,211,146,94,109,2501, 
2024-May-20_13:57:38.435, 8mS, 80nA,113,156,186,209,145,93,108,2441, 
2024-May-20_13:57:38.555, 8mS, 80nA,111,155,186,208,146,93,109,2464, 
2024-May-20_13:57:38.685, 8mS, 80nA,115,158,188,211,146,93,109,2494, 
2024-May-20_13:57:38.805, 8mS, 80nA,111,155,186,208,145,92,108,2373, 
2024-May-20_13:57:38.935, 8mS, 80nA,113,157,187,210,146,93,108,2436, 
2024-May-20_13:57:39.055, 8mS, 80nA,115,158,188,211,146,94,109,2510, 
2024-May-20_13:57:39.185, 8mS, 80nA,111,156,187,209,146,92,108,2394, 
2024-May-20_13:57:39.305, 8mS, 80nA,113,157,188,211,148,95,110,2546, 
2024-May-20_13:57:39.435, 8mS, 80nA,117,161,191,214,148,95,110,2565, 
2024-May-20_13:57:39.555, 8mS, 80nA,113,157,188,211,146,93,109,2423, 
2024-May-20_13:57:39.685, 8mS, 80nA,113,158,188,211,149,96,111,2572, 
2024-May-20_13:57:39.805, 8mS, 80nA,116,160,190,212,147,94,110,2524, 
2024-May-20_13:57:39.935, 8mS, 80nA,110,154,185,207,143,91,107,2378, 
2024-May-20_13:57:40.055, 8mS, 80nA,118,163,193,217,149,96,111,2578, 
2024-May-20_13:57:40.185, 8mS, 80nA,118,163,193,216,150,96,112,2570, 
2024-May-20_13:57:40.305, 8mS, 80nA,116,162,193,217,150,96,112,2503, 
2024-May-20_13:57:40.435, 8mS, 80nA,116,162,193,217,150,96,112,2585, 
2024-May-20_13:57:40.555, 8mS, 80nA,114,160,191,213,149,94,111,2447, 
2024-May-20_13:57:40.684, 8mS, 80nA,114,160,191,215,149,95,111,2438, 
2024-May-20_13:57:40.804, 8mS, 80nA,118,162,193,216,150,96,112,2566, 
2024-May-20_13:57:40.935, 8mS, 80nA,116,163,195,218,152,96,113,2504, 
2024-May-20_13:57:41.054, 8mS, 80nA,119,164,197,221,153,98,114,2578, 
2024-May-20_13:57:41.184, 8mS, 80nA,119,165,197,221,153,98,114,2608, 
2024-May-20_13:57:41.304, 8mS, 80nA,115,161,194,217,152,96,113,2463, 
2024-May-20_13:57:41.434, 8mS, 80nA,118,165,197,221,153,98,114,2573, 
2024-May-20_13:57:41.555, 8mS, 80nA,195,240,273,323,222,364,427,3520, 
2024-May-20_13:57:41.684, 8mS, 80nA,114,160,193,216,151,96,112,2469, 
2024-May-20_13:57:41.805, 8mS, 80nA,116,162,194,217,153,98,114,2623, 
