% Time Stamp, Integration Time, Reference Current,Diode 1, Diode 2, Diode 3, Diode 4, Diode 5, Diode 6, Diode 7, Diode 8,
2024-May-20_14:41:25.916, 8mS, 80nA,81,116,136,148,102,64,74,1830, 
2024-May-20_14:41:26.036, 8mS, 80nA,81,115,136,148,102,63,73,1824, 
2024-May-20_14:41:26.166, 8mS, 80nA,85,119,138,151,104,65,75,1949, 
2024-May-20_14:41:26.286, 8mS, 80nA,83,116,136,148,102,64,74,1864, 
2024-May-20_14:41:26.416, 8mS, 80nA,81,116,136,148,102,64,74,1818, 
2024-May-20_14:41:26.546, 8mS, 80nA,85,118,138,151,104,65,75,1931, 
2024-May-20_14:41:26.666, 8mS, 80nA,84,117,137,149,102,63,73,1814, 
2024-May-20_14:41:26.787, 8mS, 80nA,81,115,136,148,102,63,74,1815, 
2024-May-20_14:41:26.917, 8mS, 80nA,85,119,138,151,104,65,75,1941, 
2024-May-20_14:41:27.037, 8mS, 80nA,82,116,136,148,102,64,74,1833, 
2024-May-20_14:41:27.167, 8mS, 80nA,82,116,137,149,103,64,74,1846, 
2024-May-20_14:41:27.287, 8mS, 80nA,86,120,139,152,105,66,75,1958, 
2024-May-20_14:41:27.417, 8mS, 80nA,83,117,137,149,103,64,74,1824, 
2024-May-20_14:41:27.537, 8mS, 80nA,82,116,137,149,103,64,74,1826, 
2024-May-20_14:41:27.667, 8mS, 80nA,85,118,138,150,104,65,75,1920, 
2024-May-20_14:41:27.787, 8mS, 80nA,84,118,138,150,103,64,74,1826, 
2024-May-20_14:41:27.917, 8mS, 80nA,84,119,139,152,104,65,75,1901, 
2024-May-20_14:41:28.037, 8mS, 80nA,85,119,138,151,104,65,74,1941, 
2024-May-20_14:41:28.167, 8mS, 80nA,81,115,135,147,101,63,73,1821, 
2024-May-20_14:41:28.287, 8mS, 80nA,82,116,136,149,102,64,73,1840, 
2024-May-20_14:41:28.417, 8mS, 80nA,82,115,134,147,101,63,72,1857, 
2024-May-20_14:41:28.537, 8mS, 80nA,81,114,133,145,100,62,71,1790, 
2024-May-20_14:41:28.667, 8mS, 80nA,83,116,134,147,100,63,72,1893, 
2024-May-20_14:41:28.788, 8mS, 80nA,82,115,133,145,99,63,71,1872, 
2024-May-20_14:41:28.918, 8mS, 80nA,79,112,131,144,98,61,71,1775, 
2024-May-20_14:41:29.038, 8mS, 80nA,81,114,133,145,99,62,71,1839, 
2024-May-20_14:41:29.169, 8mS, 80nA,83,115,133,146,98,61,70,1790, 
2024-May-20_14:41:29.289, 8mS, 80nA,80,113,132,144,99,62,71,1793, 
2024-May-20_14:41:29.419, 8mS, 80nA,85,117,136,149,102,64,73,1926, 
2024-May-20_14:41:29.539, 8mS, 80nA,85,117,136,149,100,63,72,1845, 
2024-May-20_14:41:29.669, 8mS, 80nA,80,113,133,145,100,62,71,1786, 
2024-May-20_14:41:29.789, 8mS, 80nA,83,115,134,146,100,63,72,1884, 
2024-May-20_14:41:29.919, 8mS, 80nA,82,114,133,146,100,63,72,1863, 
2024-May-20_14:41:30.039, 8mS, 80nA,81,115,134,147,101,63,72,1837, 
2024-May-20_14:41:30.169, 8mS, 80nA,83,115,134,147,100,63,72,1898, 
2024-May-20_14:41:30.289, 8mS, 80nA,79,113,132,144,99,62,71,1787, 
2024-May-20_14:41:30.419, 8mS, 80nA,80,113,133,146,100,62,71,1795, 
