% Time Stamp, Integration Time, Reference Current,Diode 1, Diode 2, Diode 3, Diode 4, Diode 5, Diode 6, Diode 7, Diode 8,
2024-May-20_14:23:23.764, 8mS, 80nA,122,165,194,216,150,95,112,2589, 
2024-May-20_14:23:23.884, 8mS, 80nA,117,162,192,214,148,93,110,2458, 
2024-May-20_14:23:24.014, 8mS, 80nA,119,163,193,216,150,95,111,2605, 
2024-May-20_14:23:24.134, 8mS, 80nA,122,165,194,216,150,95,111,2602, 
2024-May-20_14:23:24.264, 8mS, 80nA,118,162,192,214,149,93,110,2459, 
2024-May-20_14:23:24.384, 8mS, 80nA,118,162,192,215,150,95,111,2594, 
2024-May-20_14:23:24.514, 8mS, 80nA,118,161,190,212,147,92,109,2495, 
2024-May-20_14:23:24.634, 8mS, 80nA,108,150,179,201,140,87,103,2265, 
2024-May-20_14:23:24.764, 8mS, 80nA,122,166,196,219,151,95,112,2581, 
2024-May-20_14:23:24.884, 8mS, 80nA,124,169,199,222,155,97,114,2624, 
2024-May-20_14:23:25.014, 8mS, 80nA,121,167,199,222,154,96,114,2548, 
2024-May-20_14:23:25.134, 8mS, 80nA,122,167,198,222,154,97,114,2568, 
2024-May-20_14:23:25.264, 8mS, 80nA,121,166,197,220,153,96,113,2561, 
2024-May-20_14:23:25.384, 8mS, 80nA,121,166,197,220,153,96,113,2533, 
2024-May-20_14:23:25.514, 8mS, 80nA,159,202,234,269,187,215,250,3079, 
2024-May-20_14:23:25.634, 8mS, 80nA,123,167,198,220,153,97,114,2606, 
2024-May-20_14:23:25.764, 8mS, 80nA,183,227,260,305,217,331,388,3417, 
2024-May-20_14:23:25.884, 8mS, 80nA,124,168,198,222,154,98,114,2630, 
2024-May-20_14:23:26.014, 8mS, 80nA,181,225,257,301,208,303,357,3226, 
2024-May-20_14:23:26.135, 8mS, 80nA,121,166,196,219,153,96,113,2558, 
2024-May-20_14:23:26.264, 8mS, 80nA,124,167,197,220,153,97,113,2653, 
2024-May-20_14:23:26.384, 8mS, 80nA,120,164,195,217,152,95,112,2531, 
2024-May-20_14:23:26.514, 8mS, 80nA,120,165,196,219,154,97,114,2645, 
2024-May-20_14:23:26.635, 8mS, 80nA,125,169,199,222,154,98,114,2674, 
