% Time Stamp, Integration Time, Reference Current,Diode 1, Diode 2, Diode 3, Diode 4, Diode 5, Diode 6, Diode 7, Diode 8,
2024-May-20_14:14:39.756, 8mS, 80nA,109,151,180,201,140,89,104,2346, 
2024-May-20_14:14:39.886, 8mS, 80nA,110,152,182,203,141,89,105,2369, 
2024-May-20_14:14:40.006, 8mS, 80nA,114,154,183,204,142,91,106,2479, 
2024-May-20_14:14:40.136, 8mS, 80nA,109,151,181,202,141,89,105,2345, 
2024-May-20_14:14:40.256, 8mS, 80nA,110,152,182,204,141,89,105,2354, 
2024-May-20_14:14:40.386, 8mS, 80nA,111,153,183,204,142,90,106,2392, 
2024-May-20_14:14:40.506, 8mS, 80nA,110,152,181,202,141,89,105,2334, 
2024-May-20_14:14:40.636, 8mS, 80nA,114,156,185,206,143,91,106,2485, 
2024-May-20_14:14:40.758, 8mS, 80nA,112,154,183,205,142,90,106,2417, 
2024-May-20_14:14:40.888, 8mS, 80nA,111,154,184,205,143,90,106,2365, 
2024-May-20_14:14:41.008, 8mS, 80nA,114,156,185,207,143,91,107,2469, 
2024-May-20_14:14:41.138, 8mS, 80nA,111,154,184,206,143,90,106,2366, 
2024-May-20_14:14:41.258, 8mS, 80nA,115,157,186,209,144,92,107,2488, 
2024-May-20_14:14:41.388, 8mS, 80nA,115,157,186,208,144,92,107,2490, 
2024-May-20_14:14:41.508, 8mS, 80nA,112,155,185,206,144,91,107,2452, 
2024-May-20_14:14:41.638, 8mS, 80nA,115,158,187,209,145,92,107,2490, 
2024-May-20_14:14:41.758, 8mS, 80nA,112,155,185,206,143,90,107,2392, 
2024-May-20_14:14:41.888, 8mS, 80nA,112,155,185,206,144,91,107,2444, 
2024-May-20_14:14:42.008, 8mS, 80nA,117,159,188,210,145,93,108,2537, 
2024-May-20_14:14:42.138, 8mS, 80nA,112,156,185,206,143,91,107,2403, 
2024-May-20_14:14:42.258, 8mS, 80nA,113,157,186,208,144,91,107,2434, 
2024-May-20_14:14:42.389, 8mS, 80nA,117,159,188,210,145,93,108,2540, 
2024-May-20_14:14:42.509, 8mS, 80nA,112,156,185,207,144,91,107,2402, 
2024-May-20_14:14:42.639, 8mS, 80nA,113,156,186,207,144,91,107,2414, 
2024-May-20_14:14:42.759, 8mS, 80nA,113,156,185,207,143,91,107,2430, 
2024-May-20_14:14:42.889, 8mS, 80nA,112,155,185,206,143,90,107,2383, 
2024-May-20_14:14:43.009, 8mS, 80nA,117,159,188,210,145,93,108,2544, 
2024-May-20_14:14:43.139, 8mS, 80nA,114,156,185,206,143,92,107,2454, 
2024-May-20_14:14:43.260, 8mS, 80nA,112,155,184,206,145,93,108,2518, 
